defender,后卫，防守队员,to beat a defender,晃过防守队员,to elude two opponents / defenders,晃过两名防守队员,,,,,,,,,,,,,,,,
defending champions,卫冕冠军队，上届冠军队,,,,,,,,,,,,,,,,,,,,
defending third,后场,in the defending third,在后场,,,,,,,,,,,,,,,,,,
defense,AmE（美国英语）= defence,,,,,,,,,,,,,,,,,,,,
defensive football,防守型足球,,,,,,,,,,,,,,,,,,,,
defensive midfielder,防守型中场；后腰,FM 定义：,主要职责是通过积极的鼻腔破坏对方的进攻，帮助球队防守，在本队控制球的时候，能够在中场策应。一个重要任务就是在球队在被对手压制一段时间，本方后防线和攻击线需要重组队形时，能够拿住球。,,,,,,,,,,,,,,,,,,
defensive third,后场,They carried the ball from their defensive third into the midfield.,他们把球从后场带到中场。,,,,,,,,,,,,,,,,,,
defensively oriented,以防御为主，防守型的,defensively-iriented player / team,防守型的队员 / 队,,,,,,,,,,,,,,,,,,
deficit,比分落后,（译注：原意是不敷，亏空，赤字，欠缺，用于足球比赛可译为比分落后。）,,,,,,,,,,,,,,,,,,,
deflect,托球,to deflect the ball over the crossbar,用手掌将球托起，使之越过球门横木,The volley was deflected by the goalkepper.,守门员用手掌将凌空球托起使之越过球门横梁。,,,,,,,,,,,,,,,,
delay of the game,拖延时间，拖延比赛,,,,,,,,,,,,,,,,,,,,
demolish,大败,（译注：原意是破坏，毁坏，摧毁，拆除。在足球比赛中，可引申其意义，译成大败。）,Nigeria demolished Canada 4:0.,尼日利亚队 4:0 大败加拿大队。,,,,,,,,,,,,,,,,,
depth,纵深；厚度,战术术语,进攻中的纵深主要指纵向的传球空间；防守中的纵深主要指具有层次的防线布阵,,,,,,,,,,,,,,,,,,
desequilibrar,使...失去平衡; 打破平衡,西班牙语，通常用来形容球员的特点，比如：科威尔的特点是打破平衡；科威尔一上场就能够打破米兰的平衡】,,,,,,,,,,,,,,,,,,,
diagonal pass,斜线传球,,,,,,,,,,,,,,,,,,,,
direct free kick,直接任意球,to take a direct free-kick,主罚直接任意球,,,,,,,,,,,,,,,,,,
direct frontal attack,正面进攻,to launch a direct frontal attack.,发动正面进攻,,,,,,,,,,,,,,,,,,
dirty play,搞很多小动作的比赛,（译注：dirty 原意是不干净的，卑鄙的，不正当的，不公正的，用于足球比赛可译为搞很多小动作的。）,,,,,,,,,,,,,,,,,,,
